Time[s] Voltage[V]
1.900000e-07 2.959016e-01
3.900000e-07 2.963688e-01
5.900000e-07 2.968343e-01
7.900000e-07 2.972999e-01
9.900000e-07 2.977654e-01
1.190000e-06 2.982309e-01
1.390000e-06 2.986964e-01
1.590000e-06 2.991620e-01
1.790000e-06 2.996273e-01
1.990000e-06 3.000929e-01
2.190000e-06 3.005584e-01
2.390000e-06 3.010239e-01
2.590000e-06 3.014893e-01
2.790000e-06 3.019549e-01
2.990000e-06 3.024204e-01
3.190000e-06 3.028858e-01
3.390000e-06 3.033504e-01
3.590000e-06 3.038162e-01
3.790000e-06 3.042815e-01
3.990000e-06 3.047472e-01
4.190000e-06 3.052123e-01
4.390000e-06 3.056780e-01
4.590000e-06 3.061435e-01
4.790000e-06 3.066090e-01
4.990000e-06 3.070738e-01
5.190000e-06 3.075399e-01
5.390000e-06 3.080052e-01
5.590000e-06 3.084708e-01
5.790000e-06 3.089357e-01
5.990000e-06 3.094016e-01
6.190000e-06 3.098669e-01
6.390000e-06 3.103324e-01
6.590000e-06 3.107946e-01
6.790000e-06 3.112594e-01
6.990000e-06 3.117257e-01
7.190000e-06 3.121902e-01
7.390000e-06 3.126557e-01
7.590000e-06 3.131211e-01
7.790000e-06 3.135875e-01
7.990000e-06 3.140519e-01
8.190000e-06 3.145172e-01
8.390000e-06 3.149827e-01
8.590000e-06 3.154481e-01
8.790000e-06 3.159136e-01
8.990000e-06 3.163795e-01
9.190000e-06 3.168444e-01
9.390000e-06 3.173098e-01
9.590000e-06 3.177752e-01
9.790000e-06 3.182395e-01
9.990000e-06 3.187046e-01
1.019000e-05 3.191701e-01
1.039000e-05 3.196353e-01
1.059000e-05 3.201014e-01
1.079000e-05 3.205663e-01
1.099000e-05 3.210306e-01
1.119000e-05 3.214970e-01
1.139000e-05 3.219624e-01
1.159000e-05 3.224278e-01
1.179000e-05 3.228931e-01
1.199000e-05 3.233585e-01
1.219000e-05 3.238214e-01
1.239000e-05 3.242892e-01
1.259000e-05 3.247544e-01
1.279000e-05 3.252177e-01
1.299000e-05 3.256720e-01
1.319000e-05 3.261402e-01
1.339000e-05 3.266049e-01
1.359000e-05 3.270709e-01
1.379000e-05 3.275343e-01
1.399000e-05 3.280015e-01
1.419000e-05 3.284661e-01
1.439000e-05 3.289322e-01
1.459000e-05 3.293964e-01
1.479000e-05 3.298625e-01
1.499000e-05 3.303274e-01
1.519000e-05 3.307932e-01
1.539000e-05 3.312575e-01
1.559000e-05 3.317237e-01
1.579000e-05 3.321885e-01
1.599000e-05 3.326543e-01
1.619000e-05 3.331164e-01
1.639000e-05 3.335840e-01
1.659000e-05 3.340482e-01
1.679000e-05 3.345145e-01
1.699000e-05 3.349778e-01
1.719000e-05 3.354441e-01
1.739000e-05 3.359092e-01
1.759000e-05 3.363742e-01
1.779000e-05 3.368393e-01
1.799000e-05 3.373034e-01
1.819000e-05 3.377702e-01
1.839000e-05 3.382334e-01
1.859000e-05 3.387003e-01
1.879000e-05 3.391632e-01
1.899000e-05 3.396310e-01
1.919000e-05 3.400932e-01
1.939000e-05 3.405569e-01
1.959000e-05 3.410225e-01
1.979000e-05 3.414877e-01
1.999000e-05 3.419523e-01
2.019000e-05 3.424183e-01
2.039000e-05 3.428820e-01
2.059000e-05 3.433473e-01
2.079000e-05 3.438117e-01
2.099000e-05 3.442769e-01
2.119000e-05 3.447412e-01
2.139000e-05 3.452060e-01
2.159000e-05 3.456708e-01
2.179000e-05 3.461362e-01
2.199000e-05 3.466004e-01
2.219000e-05 3.470652e-01
2.239000e-05 3.475300e-01
2.259000e-05 3.479988e-01
2.279000e-05 3.484596e-01
2.299000e-05 3.489247e-01
2.319000e-05 3.493901e-01
2.339000e-05 3.498553e-01
2.359000e-05 3.503206e-01
2.379000e-05 3.507859e-01
2.399000e-05 3.512512e-01
2.419000e-05 3.517161e-01
2.439000e-05 3.521819e-01
2.459000e-05 3.526467e-01
2.479000e-05 3.531124e-01
2.499000e-05 3.535771e-01
2.519000e-05 3.540428e-01
2.539000e-05 3.545076e-01
2.559000e-05 3.549733e-01
2.579000e-05 3.554065e-01
2.599000e-05 3.558724e-01
2.619000e-05 3.563369e-01
2.639000e-05 3.568026e-01
2.659000e-05 3.572669e-01
2.679000e-05 3.577333e-01
2.699000e-05 3.581979e-01
2.719000e-05 3.586636e-01
2.739000e-05 3.591280e-01
2.759000e-05 3.595949e-01
2.779000e-05 3.600595e-01
2.799000e-05 3.605253e-01
2.819000e-05 3.609887e-01
2.839000e-05 3.614556e-01
2.859000e-05 3.619201e-01
2.879000e-05 3.623859e-01
2.899000e-05 3.628483e-01
2.919000e-05 3.633130e-01
2.939000e-05 3.637783e-01
2.959000e-05 3.642440e-01
2.979000e-05 3.647090e-01
2.999000e-05 3.651748e-01
3.019000e-05 3.656387e-01
3.039000e-05 3.661050e-01
3.059000e-05 3.665692e-01
3.079000e-05 3.670359e-01
3.099000e-05 3.675003e-01
3.119000e-05 3.679660e-01
3.139000e-05 3.684298e-01
3.159000e-05 3.688961e-01
3.179000e-05 3.693607e-01
3.199000e-05 3.698263e-01
3.219000e-05 3.702872e-01
3.239000e-05 3.707532e-01
3.259000e-05 3.712178e-01
3.279000e-05 3.716833e-01
3.299000e-05 3.721476e-01
3.319000e-05 3.726135e-01
3.339000e-05 3.730782e-01
3.359000e-05 3.735436e-01
3.379000e-05 3.740070e-01
3.399000e-05 3.744736e-01
3.419000e-05 3.749386e-01
3.439000e-05 3.754037e-01
3.459000e-05 3.758674e-01
3.479000e-05 3.763338e-01
3.499000e-05 3.767988e-01
3.519000e-05 3.772639e-01
3.539000e-05 3.777270e-01
3.559000e-05 3.781927e-01
3.579000e-05 3.786578e-01
3.599000e-05 3.791229e-01
3.619000e-05 3.795876e-01
3.639000e-05 3.800531e-01
3.659000e-05 3.805180e-01
3.679000e-05 3.809832e-01
3.699000e-05 3.814471e-01
3.719000e-05 3.819121e-01
3.739000e-05 3.823781e-01
3.759000e-05 3.828420e-01
3.779000e-05 3.833071e-01
3.799000e-05 3.837719e-01
3.819000e-05 3.842382e-01
3.839000e-05 3.847018e-01
3.859000e-05 3.851574e-01
3.879000e-05 3.856227e-01
3.899000e-05 3.860877e-01
3.919000e-05 3.865529e-01
3.939000e-05 3.870172e-01
3.959000e-05 3.874829e-01
3.979000e-05 3.879477e-01
3.999000e-05 3.884131e-01
4.019000e-05 3.888775e-01
4.039000e-05 3.893428e-01
4.059000e-05 3.898077e-01
4.079000e-05 3.902728e-01
4.099000e-05 3.907376e-01
4.119000e-05 3.912028e-01
4.139000e-05 3.916677e-01
4.159000e-05 3.921328e-01
4.179000e-05 3.925963e-01
4.199000e-05 3.930593e-01
4.219000e-05 3.935266e-01
4.239000e-05 3.939882e-01
4.259000e-05 3.944563e-01
4.279000e-05 3.949213e-01
4.299000e-05 3.953866e-01
4.319000e-05 3.958497e-01
4.339000e-05 3.963162e-01
4.359000e-05 3.967803e-01
4.379000e-05 3.972461e-01
4.399000e-05 3.977106e-01
4.419000e-05 3.981761e-01
4.439000e-05 3.986406e-01
4.459000e-05 3.991060e-01
4.479000e-05 3.995708e-01
4.499000e-05 4.000347e-01
4.519000e-05 4.004972e-01
4.539000e-05 4.009621e-01
4.559000e-05 4.014265e-01
4.579000e-05 4.018927e-01
4.599000e-05 4.023557e-01
4.619000e-05 4.028214e-01
4.639000e-05 4.032854e-01
4.659000e-05 4.037516e-01
4.679000e-05 4.042146e-01
4.699000e-05 4.046806e-01
4.719000e-05 4.051442e-01
4.739000e-05 4.056108e-01
4.759000e-05 4.060737e-01
4.779000e-05 4.065397e-01
4.799000e-05 4.070033e-01
4.819000e-05 4.074710e-01
4.839000e-05 4.079377e-01
4.859000e-05 4.083979e-01
4.879000e-05 4.088669e-01
4.899000e-05 4.093306e-01
4.919000e-05 4.097974e-01
4.939000e-05 4.102566e-01
4.959000e-05 4.107275e-01
4.979000e-05 4.111870e-01
4.999000e-05 4.116576e-01
5.019000e-05 4.121164e-01
5.039000e-05 4.125877e-01
5.059000e-05 4.130464e-01
5.079000e-05 4.135177e-01
5.099000e-05 4.139771e-01
5.119000e-05 4.144477e-01
5.139000e-05 4.148291e-01
5.159000e-05 4.152916e-01
5.179000e-05 4.157566e-01
5.199000e-05 4.162206e-01
5.219000e-05 4.166874e-01
5.239000e-05 4.171481e-01
5.259000e-05 4.176141e-01
5.279000e-05 4.180785e-01
5.299000e-05 4.185498e-01
5.319000e-05 4.190145e-01
5.339000e-05 4.194778e-01
5.359000e-05 4.199443e-01
5.379000e-05 4.204040e-01
5.399000e-05 4.208742e-01
5.419000e-05 4.213377e-01
5.439000e-05 4.218043e-01
5.459000e-05 4.222658e-01
5.479000e-05 4.227320e-01
5.499000e-05 4.231969e-01
5.519000e-05 4.236618e-01
5.539000e-05 4.241241e-01
5.559000e-05 4.245917e-01
5.579000e-05 4.250576e-01
5.599000e-05 4.255215e-01
5.619000e-05 4.259788e-01
5.639000e-05 4.264512e-01
5.659000e-05 4.269170e-01
5.679000e-05 4.273810e-01
5.699000e-05 4.278446e-01
5.719000e-05 4.283108e-01
5.739000e-05 4.287765e-01
5.759000e-05 4.292407e-01
5.779000e-05 4.297039e-01
5.799000e-05 4.301670e-01
5.819000e-05 4.306334e-01
5.839000e-05 4.310971e-01
5.859000e-05 4.315558e-01
5.879000e-05 4.320263e-01
5.899000e-05 4.324930e-01
5.919000e-05 4.329563e-01
5.939000e-05 4.334138e-01
5.959000e-05 4.338786e-01
5.979000e-05 4.343452e-01
5.999000e-05 4.348084e-01
6.019000e-05 4.352820e-01
6.039000e-05 4.357380e-01
6.059000e-05 4.362047e-01
6.079000e-05 4.366676e-01
6.099000e-05 4.371369e-01
6.119000e-05 4.376038e-01
6.139000e-05 4.380705e-01
6.159000e-05 4.385347e-01
6.179000e-05 4.390006e-01
6.199000e-05 4.394604e-01
6.219000e-05 4.399298e-01
6.239000e-05 4.403897e-01
6.259000e-05 4.408507e-01
6.279000e-05 4.413202e-01
6.299000e-05 4.417839e-01
6.319000e-05 4.422503e-01
6.339000e-05 4.427191e-01
6.359000e-05 4.431804e-01
6.379000e-05 4.436435e-01
6.399000e-05 4.441103e-01
6.419000e-05 4.445680e-01
6.439000e-05 4.450283e-01
6.459000e-05 4.454978e-01
6.479000e-05 4.459561e-01
6.499000e-05 4.464274e-01
6.519000e-05 4.468859e-01
6.539000e-05 4.473573e-01
6.559000e-05 4.478160e-01
6.579000e-05 4.482866e-01
6.599000e-05 4.487491e-01
6.619000e-05 4.492130e-01
6.639000e-05 4.496756e-01
6.659000e-05 4.501442e-01
6.679000e-05 4.506056e-01
6.699000e-05 4.510729e-01
6.719000e-05 4.515357e-01
6.739000e-05 4.520054e-01
6.759000e-05 4.524688e-01
6.779000e-05 4.529353e-01
6.799000e-05 4.533989e-01
6.819000e-05 4.538651e-01
6.839000e-05 4.543290e-01
6.859000e-05 4.547935e-01
6.879000e-05 4.552589e-01
6.899000e-05 4.557235e-01
6.919000e-05 4.561882e-01
6.939000e-05 4.566524e-01
6.959000e-05 4.571180e-01
6.979000e-05 4.575836e-01
6.999000e-05 4.580478e-01
7.019000e-05 4.585121e-01
7.039000e-05 4.589776e-01
7.059000e-05 4.594395e-01
7.079000e-05 4.599029e-01
7.099000e-05 4.603709e-01
7.119000e-05 4.608325e-01
7.139000e-05 4.613007e-01
7.159000e-05 4.617618e-01
7.179000e-05 4.622313e-01
7.199000e-05 4.626917e-01
7.219000e-05 4.631604e-01
7.239000e-05 4.636209e-01
7.259000e-05 4.640872e-01
7.279000e-05 4.645507e-01
7.299000e-05 4.650188e-01
7.319000e-05 4.654805e-01
7.339000e-05 4.659468e-01
7.359000e-05 4.664105e-01
7.379000e-05 4.668787e-01
7.399000e-05 4.673409e-01
7.419000e-05 4.678097e-01
7.439000e-05 4.682708e-01
7.459000e-05 4.687395e-01
7.479000e-05 4.692005e-01
7.499000e-05 4.696692e-01
7.519000e-05 4.701303e-01
7.539000e-05 4.705981e-01
7.559000e-05 4.710593e-01
7.579000e-05 4.715245e-01
7.599000e-05 4.719889e-01
7.619000e-05 4.724558e-01
7.639000e-05 4.729187e-01
7.659000e-05 4.733839e-01
7.679000e-05 4.738482e-01
7.699000e-05 4.742828e-01
7.719000e-05 4.747499e-01
7.739000e-05 4.752148e-01
7.759000e-05 4.756796e-01
7.779000e-05 4.761457e-01
7.799000e-05 4.766094e-01
7.819000e-05 4.770738e-01
7.839000e-05 4.775407e-01
7.859000e-05 4.780034e-01
7.879000e-05 4.784637e-01
7.899000e-05 4.789296e-01
7.919000e-05 4.793987e-01
7.939000e-05 4.798577e-01
7.959000e-05 4.803282e-01
7.979000e-05 4.807933e-01
7.999000e-05 4.812582e-01
8.019000e-05 4.817223e-01
8.039000e-05 4.821870e-01
8.059000e-05 4.826520e-01
8.079000e-05 4.831170e-01
8.099000e-05 4.835820e-01
8.119000e-05 4.840465e-01
8.139000e-05 4.845123e-01
8.159000e-05 4.849762e-01
8.179000e-05 4.854411e-01
8.199000e-05 4.859053e-01
8.219000e-05 4.863714e-01
8.239000e-05 4.868350e-01
8.259000e-05 4.873010e-01
8.279000e-05 4.877646e-01
8.299000e-05 4.882308e-01
8.319000e-05 4.886943e-01
8.339000e-05 4.891574e-01
8.359000e-05 4.896189e-01
8.379000e-05 4.900873e-01
8.399000e-05 4.905488e-01
8.419000e-05 4.910163e-01
8.439000e-05 4.914752e-01
8.459000e-05 4.919446e-01
8.479000e-05 4.924048e-01
8.499000e-05 4.928748e-01
8.519000e-05 4.933328e-01
8.539000e-05 4.937992e-01
8.559000e-05 4.942624e-01
8.579000e-05 4.947340e-01
8.599000e-05 4.951921e-01
8.619000e-05 4.956584e-01
8.639000e-05 4.961218e-01
8.659000e-05 4.965927e-01
8.679000e-05 4.970558e-01
8.699000e-05 4.975207e-01
8.719000e-05 4.979855e-01
8.739000e-05 4.984523e-01
8.759000e-05 4.989100e-01
8.779000e-05 4.993797e-01
8.799000e-05 4.998395e-01
8.819000e-05 5.003102e-01
8.839000e-05 5.007700e-01
8.859000e-05 5.012344e-01
8.879000e-05 5.016994e-01
8.899000e-05 5.021693e-01
8.919000e-05 5.026288e-01
8.939000e-05 5.030935e-01
8.959000e-05 5.035592e-01
8.979000e-05 5.040132e-01
8.999000e-05 5.044773e-01
9.019000e-05 5.049456e-01
9.039000e-05 5.054062e-01
9.059000e-05 5.058768e-01
9.079000e-05 5.063364e-01
9.099000e-05 5.068047e-01
9.119000e-05 5.072662e-01
9.139000e-05 5.077338e-01
9.159000e-05 5.081961e-01
9.179000e-05 5.086632e-01
9.199000e-05 5.091257e-01
9.219000e-05 5.095926e-01
9.239000e-05 5.100553e-01
9.259000e-05 5.105222e-01
9.279000e-05 5.109849e-01
9.299000e-05 5.114530e-01
9.319000e-05 5.119204e-01
9.339000e-05 5.123798e-01
9.359000e-05 5.128509e-01
9.379000e-05 5.133110e-01
9.399000e-05 5.137813e-01
9.419000e-05 5.142385e-01
9.439000e-05 5.147112e-01
9.459000e-05 5.151675e-01
9.479000e-05 5.156398e-01
9.499000e-05 5.160972e-01
9.519000e-05 5.165696e-01
9.539000e-05 5.170263e-01
9.559000e-05 5.174997e-01
9.579000e-05 5.179562e-01
9.599000e-05 5.184295e-01
9.619000e-05 5.188882e-01
9.639000e-05 5.193463e-01
9.659000e-05 5.198117e-01
9.679000e-05 5.202765e-01
9.699000e-05 5.207403e-01
9.719000e-05 5.212091e-01
9.739000e-05 5.216703e-01
9.759000e-05 5.221390e-01
9.779000e-05 5.225995e-01
9.799000e-05 5.230698e-01
9.819000e-05 5.235312e-01
9.839000e-05 5.239994e-01
9.859000e-05 5.244582e-01
9.879000e-05 5.249296e-01
9.899000e-05 5.253921e-01
9.919000e-05 5.258594e-01
9.939000e-05 5.263182e-01
9.959000e-05 5.267922e-01
9.979000e-05 5.272469e-01
9.999000e-05 5.277221e-01
1.001900e-04 5.281760e-01
1.003900e-04 5.286519e-01
1.005900e-04 5.291066e-01
1.007900e-04 5.295816e-01
1.009900e-04 5.300356e-01
1.011900e-04 5.305106e-01
1.013900e-04 5.309715e-01
1.015900e-04 5.314404e-01
1.017900e-04 5.318953e-01
1.019900e-04 5.323700e-01
1.021900e-04 5.328319e-01
1.023900e-04 5.332896e-01
1.025900e-04 5.336256e-01
1.027900e-04 5.340866e-01
1.029900e-04 5.345513e-01
1.031900e-04 5.350159e-01
1.033900e-04 5.354852e-01
1.035900e-04 5.359446e-01
1.037900e-04 5.364096e-01
1.039900e-04 5.368740e-01
1.041900e-04 5.373336e-01
1.043900e-04 5.378011e-01
1.045900e-04 5.382686e-01
1.047900e-04 5.387301e-01
1.049900e-04 5.392000e-01
1.051900e-04 5.396597e-01
1.053900e-04 5.401270e-01
1.055900e-04 5.405893e-01
1.057900e-04 5.410498e-01
1.059900e-04 5.415160e-01
1.061900e-04 5.419792e-01
1.063900e-04 5.424451e-01
1.065900e-04 5.429142e-01
1.067900e-04 5.433756e-01
1.069900e-04 5.438380e-01
1.071900e-04 5.443063e-01
1.073900e-04 5.447778e-01
1.075900e-04 5.452361e-01
1.077900e-04 5.456978e-01
1.079900e-04 5.461676e-01
1.081900e-04 5.466312e-01
1.083900e-04 5.470982e-01
1.085900e-04 5.475569e-01
1.087900e-04 5.480289e-01
1.089900e-04 5.484840e-01
1.091900e-04 5.489535e-01
1.093900e-04 5.494127e-01
1.095900e-04 5.498828e-01
1.097900e-04 5.503541e-01
1.099900e-04 5.508172e-01
1.101900e-04 5.512729e-01
1.103900e-04 5.517471e-01
1.105900e-04 5.522118e-01
1.107900e-04 5.526701e-01
1.109900e-04 5.531424e-01
1.111900e-04 5.535994e-01
1.113900e-04 5.540610e-01
1.115900e-04 5.545285e-01
1.117900e-04 5.549998e-01
1.119900e-04 5.554577e-01
1.121900e-04 5.559320e-01
1.123900e-04 5.563926e-01
1.125900e-04 5.568492e-01
1.127900e-04 5.573221e-01
1.129900e-04 5.577787e-01
1.131900e-04 5.582557e-01
1.133900e-04 5.587156e-01
1.135900e-04 5.591856e-01
1.137900e-04 5.596458e-01
1.139900e-04 5.601021e-01
1.141900e-04 5.605764e-01
1.143900e-04 5.610316e-01
1.145900e-04 5.615027e-01
1.147900e-04 5.619612e-01
1.149900e-04 5.624339e-01
1.151900e-04 5.628908e-01
1.153900e-04 5.633569e-01
1.155900e-04 5.638169e-01
1.157900e-04 5.642884e-01
1.159900e-04 5.647467e-01
1.161900e-04 5.652171e-01
1.163900e-04 5.656761e-01
1.165900e-04 5.661479e-01
1.167900e-04 5.666059e-01
1.169900e-04 5.670772e-01
1.171900e-04 5.675286e-01
1.173900e-04 5.680009e-01
1.175900e-04 5.684581e-01
1.177900e-04 5.689369e-01
1.179900e-04 5.693878e-01
1.181900e-04 5.698589e-01
1.183900e-04 5.703174e-01
1.185900e-04 5.707944e-01
1.187900e-04 5.712509e-01
1.189900e-04 5.717248e-01
1.191900e-04 5.721813e-01
1.193900e-04 5.726546e-01
1.195900e-04 5.731109e-01
1.197900e-04 5.735836e-01
1.199900e-04 5.740412e-01
1.201900e-04 5.745120e-01
1.203900e-04 5.749657e-01
1.205900e-04 5.754329e-01
1.207900e-04 5.758945e-01
1.209900e-04 5.763709e-01
1.211900e-04 5.768240e-01
1.213900e-04 5.772916e-01
1.215900e-04 5.777534e-01
1.217900e-04 5.782212e-01
1.219900e-04 5.786825e-01
1.221900e-04 5.791564e-01
1.223900e-04 5.796136e-01
1.225900e-04 5.800863e-01
1.227900e-04 5.805425e-01
1.229900e-04 5.810144e-01
1.231900e-04 5.814719e-01
1.233900e-04 5.819441e-01
1.235900e-04 5.824106e-01
1.237900e-04 5.828732e-01
1.239900e-04 5.833409e-01
1.241900e-04 5.838036e-01
1.243900e-04 5.842712e-01
1.245900e-04 5.847330e-01
1.247900e-04 5.852012e-01
1.249900e-04 5.856630e-01
1.251900e-04 5.861200e-01
1.253900e-04 5.865921e-01
1.255900e-04 5.870519e-01
1.257900e-04 5.875218e-01
1.259900e-04 5.879789e-01
1.261900e-04 5.884531e-01
1.263900e-04 5.889087e-01
1.265900e-04 5.893860e-01
1.267900e-04 5.898489e-01
1.269900e-04 5.903122e-01
1.271900e-04 5.907790e-01
1.273900e-04 5.912459e-01
1.275900e-04 5.917088e-01
1.277900e-04 5.921723e-01
1.279900e-04 5.926389e-01
1.281900e-04 5.930724e-01
1.283900e-04 5.935369e-01
1.285900e-04 5.940027e-01
1.287900e-04 5.944664e-01
1.289900e-04 5.949327e-01
1.291900e-04 5.953960e-01
1.293900e-04 5.958624e-01
1.295900e-04 5.963260e-01
1.297900e-04 5.967885e-01
1.299900e-04 5.972554e-01
1.301900e-04 5.977222e-01
1.303900e-04 5.981858e-01
1.305900e-04 5.986506e-01
1.307900e-04 5.991153e-01
1.309900e-04 5.995818e-01
1.311900e-04 6.000449e-01
1.313900e-04 6.005077e-01
1.315900e-04 6.009740e-01
1.317900e-04 6.014363e-01
1.319900e-04 6.019031e-01
1.321900e-04 6.023708e-01
1.323900e-04 6.028314e-01
1.325900e-04 6.032943e-01
1.327900e-04 6.037613e-01
1.329900e-04 6.042276e-01
1.331900e-04 6.046884e-01
1.333900e-04 6.051505e-01
1.335900e-04 6.056177e-01
1.337900e-04 6.060896e-01
1.339900e-04 6.065470e-01
1.341900e-04 6.070093e-01
1.343900e-04 6.074760e-01
1.345900e-04 6.079447e-01
1.347900e-04 6.084059e-01
1.349900e-04 6.088682e-01
1.351900e-04 6.093365e-01
1.353900e-04 6.098028e-01
1.355900e-04 6.102682e-01
1.357900e-04 6.107304e-01
1.359900e-04 6.111979e-01
1.361900e-04 6.116589e-01
1.363900e-04 6.121298e-01
1.365900e-04 6.125914e-01
1.367900e-04 6.130592e-01
1.369900e-04 6.135194e-01
1.371900e-04 6.139885e-01
1.373900e-04 6.144533e-01
1.375900e-04 6.149179e-01
1.377900e-04 6.153757e-01
1.379900e-04 6.158449e-01
1.381900e-04 6.163104e-01
1.383900e-04 6.167747e-01
1.385900e-04 6.172361e-01
1.387900e-04 6.177073e-01
1.389900e-04 6.181694e-01
1.391900e-04 6.186346e-01
1.393900e-04 6.190985e-01
1.395900e-04 6.195622e-01
1.397900e-04 6.200373e-01
1.399900e-04 6.204914e-01
1.401900e-04 6.209581e-01
1.403900e-04 6.214205e-01
1.405900e-04 6.218972e-01
1.407900e-04 6.223495e-01
1.409900e-04 6.228165e-01
1.411900e-04 6.232811e-01
1.413900e-04 6.237406e-01
1.415900e-04 6.242112e-01
1.417900e-04 6.246663e-01
1.419900e-04 6.251414e-01
1.421900e-04 6.256051e-01
1.423900e-04 6.260710e-01
1.425900e-04 6.265357e-01
1.427900e-04 6.269903e-01
1.429900e-04 6.274658e-01
1.431900e-04 6.279197e-01
1.433900e-04 6.283965e-01
1.435900e-04 6.288489e-01
1.437900e-04 6.293248e-01
1.439900e-04 6.297783e-01
1.441900e-04 6.302501e-01
1.443900e-04 6.307161e-01
1.445900e-04 6.311850e-01
1.447900e-04 6.316443e-01
1.449900e-04 6.321153e-01
1.451900e-04 6.325744e-01
1.453900e-04 6.330436e-01
1.455900e-04 6.335035e-01
1.457900e-04 6.339723e-01
1.459900e-04 6.344247e-01
1.461900e-04 6.348999e-01
1.463900e-04 6.353536e-01
1.465900e-04 6.358303e-01
1.467900e-04 6.362828e-01
1.469900e-04 6.367580e-01
1.471900e-04 6.372127e-01
1.473900e-04 6.376912e-01
1.475900e-04 6.381448e-01
1.477900e-04 6.386123e-01
1.479900e-04 6.390766e-01
1.481900e-04 6.395442e-01
1.483900e-04 6.400021e-01
1.485900e-04 6.404698e-01
1.487900e-04 6.409323e-01
1.489900e-04 6.413996e-01
1.491900e-04 6.418681e-01
1.493900e-04 6.423280e-01
1.495900e-04 6.427994e-01
1.497900e-04 6.432584e-01
1.499900e-04 6.437308e-01
1.501900e-04 6.441867e-01
1.503900e-04 6.446613e-01
1.505900e-04 6.451196e-01
1.507900e-04 6.455796e-01
1.509900e-04 6.460454e-01
1.511900e-04 6.465107e-01
1.513900e-04 6.469777e-01
1.515900e-04 6.474394e-01
1.517900e-04 6.479050e-01
1.519900e-04 6.483701e-01
1.521900e-04 6.488351e-01
1.523900e-04 6.493101e-01
1.525900e-04 6.497654e-01
1.527900e-04 6.502403e-01
1.529900e-04 6.506956e-01
1.531900e-04 6.511705e-01
1.533900e-04 6.516271e-01
1.535900e-04 6.520910e-01
1.537900e-04 6.524722e-01
1.539900e-04 6.529403e-01
1.541900e-04 6.534055e-01
1.543900e-04 6.538719e-01
1.545900e-04 6.543363e-01
1.547900e-04 6.548044e-01
1.549900e-04 6.552695e-01
1.551900e-04 6.557353e-01
1.553900e-04 6.561988e-01
1.555900e-04 6.566638e-01
1.557900e-04 6.571288e-01
1.559900e-04 6.575931e-01
1.561900e-04 6.580579e-01
1.563900e-04 6.585227e-01
1.565900e-04 6.589878e-01
1.567900e-04 6.594529e-01
1.569900e-04 6.599159e-01
1.571900e-04 6.603761e-01
1.573900e-04 6.608465e-01
1.575900e-04 6.613054e-01
1.577900e-04 6.617760e-01
1.579900e-04 6.622351e-01
1.581900e-04 6.627065e-01
1.583900e-04 6.631644e-01
1.585900e-04 6.636353e-01
1.587900e-04 6.640942e-01
1.589900e-04 6.645665e-01
1.591900e-04 6.650229e-01
1.593900e-04 6.654962e-01
1.595900e-04 6.659542e-01
1.597900e-04 6.664269e-01
1.599900e-04 6.668856e-01
1.601900e-04 6.673467e-01
1.603900e-04 6.678158e-01
1.605900e-04 6.682782e-01
1.607900e-04 6.687468e-01
1.609900e-04 6.692127e-01
1.611900e-04 6.696776e-01
1.613900e-04 6.701428e-01
1.615900e-04 6.706079e-01
1.617900e-04 6.710724e-01
1.619900e-04 6.715291e-01
1.621900e-04 6.719984e-01
1.623900e-04 6.724575e-01
1.625900e-04 6.729246e-01
1.627900e-04 6.733883e-01
1.629900e-04 6.738561e-01
1.631900e-04 6.743195e-01
1.633900e-04 6.747905e-01
1.635900e-04 6.752557e-01
1.637900e-04 6.757160e-01
1.639900e-04 6.761855e-01
1.641900e-04 6.766483e-01
1.643900e-04 6.771137e-01
1.645900e-04 6.775728e-01
1.647900e-04 6.780431e-01
1.649900e-04 6.785036e-01
1.651900e-04 6.789744e-01
1.653900e-04 6.794338e-01
1.655900e-04 6.799043e-01
1.657900e-04 6.803689e-01
1.659900e-04 6.808338e-01
1.661900e-04 6.812950e-01
1.663900e-04 6.817633e-01
1.665900e-04 6.822162e-01
1.667900e-04 6.826826e-01
1.669900e-04 6.831457e-01
1.671900e-04 6.836122e-01
1.673900e-04 6.840765e-01
1.675900e-04 6.845407e-01
1.677900e-04 6.850035e-01
1.679900e-04 6.854699e-01
1.681900e-04 6.859313e-01
1.683900e-04 6.863986e-01
1.685900e-04 6.868632e-01
1.687900e-04 6.873277e-01
1.689900e-04 6.877886e-01
1.691900e-04 6.882566e-01
1.693900e-04 6.887268e-01
1.695900e-04 6.891854e-01
1.697900e-04 6.896468e-01
1.699900e-04 6.901168e-01
1.701900e-04 6.905759e-01
1.703900e-04 6.910472e-01
1.705900e-04 6.915056e-01
1.707900e-04 6.919749e-01
1.709900e-04 6.924339e-01
1.711900e-04 6.929034e-01
1.713900e-04 6.933737e-01
1.715900e-04 6.938286e-01
1.717900e-04 6.942999e-01
1.719900e-04 6.947587e-01
1.721900e-04 6.952306e-01
1.723900e-04 6.956874e-01
1.725900e-04 6.961559e-01
1.727900e-04 6.966180e-01
1.729900e-04 6.970827e-01
1.731900e-04 6.975445e-01
1.733900e-04 6.980157e-01
1.735900e-04 6.984782e-01
1.737900e-04 6.989450e-01
1.739900e-04 6.994103e-01
1.741900e-04 6.998724e-01
1.743900e-04 7.003394e-01
1.745900e-04 7.008005e-01
1.747900e-04 7.012704e-01
