Time[s] Voltage[V]
1.900000e-07 6.974542e-01
3.900000e-07 6.978233e-01
5.900000e-07 6.981905e-01
7.900000e-07 6.985575e-01
9.900000e-07 6.989246e-01
1.190000e-06 6.992911e-01
1.390000e-06 6.996584e-01
1.590000e-06 7.000250e-01
1.790000e-06 7.003918e-01
1.990000e-06 7.007589e-01
2.190000e-06 7.011255e-01
2.390000e-06 7.014923e-01
2.590000e-06 7.018583e-01
2.790000e-06 7.022259e-01
2.990000e-06 7.025926e-01
3.190000e-06 7.029597e-01
3.390000e-06 7.033267e-01
3.590000e-06 7.036928e-01
3.790000e-06 7.040593e-01
3.990000e-06 7.044259e-01
4.190000e-06 7.047924e-01
4.390000e-06 7.051552e-01
4.590000e-06 7.055208e-01
4.790000e-06 7.058871e-01
4.990000e-06 7.062579e-01
5.190000e-06 7.066207e-01
5.390000e-06 7.069875e-01
5.590000e-06 7.073543e-01
5.790000e-06 7.077202e-01
5.990000e-06 7.080880e-01
6.190000e-06 7.084546e-01
6.390000e-06 7.088215e-01
6.590000e-06 7.091877e-01
6.790000e-06 7.095553e-01
6.990000e-06 7.099218e-01
7.190000e-06 7.102879e-01
7.390000e-06 7.106524e-01
7.590000e-06 7.110162e-01
7.790000e-06 7.113864e-01
7.990000e-06 7.117493e-01
8.190000e-06 7.121152e-01
8.390000e-06 7.124825e-01
8.590000e-06 7.128491e-01
8.790000e-06 7.132166e-01
8.990000e-06 7.135854e-01
9.190000e-06 7.139509e-01
9.390000e-06 7.143178e-01
9.590000e-06 7.146844e-01
9.790000e-06 7.150514e-01
9.990000e-06 7.154176e-01
1.019000e-05 7.157839e-01
1.039000e-05 7.161507e-01
1.059000e-05 7.165177e-01
1.079000e-05 7.168840e-01
1.099000e-05 7.172510e-01
1.119000e-05 7.176174e-01
1.139000e-05 7.179839e-01
1.159000e-05 7.183506e-01
1.179000e-05 7.187173e-01
1.199000e-05 7.190838e-01
1.219000e-05 7.194507e-01
1.239000e-05 7.198161e-01
1.259000e-05 7.201833e-01
1.279000e-05 7.205500e-01
1.299000e-05 7.209102e-01
1.319000e-05 7.212758e-01
1.339000e-05 7.216432e-01
1.359000e-05 7.220083e-01
1.379000e-05 7.223761e-01
1.399000e-05 7.227429e-01
1.419000e-05 7.231094e-01
1.439000e-05 7.234771e-01
1.459000e-05 7.238429e-01
1.479000e-05 7.242108e-01
1.499000e-05 7.245779e-01
1.519000e-05 7.249446e-01
1.539000e-05 7.253116e-01
1.559000e-05 7.256782e-01
1.579000e-05 7.260454e-01
1.599000e-05 7.264119e-01
1.619000e-05 7.267763e-01
1.639000e-05 7.271436e-01
1.659000e-05 7.275125e-01
1.679000e-05 7.278766e-01
1.699000e-05 7.282457e-01
1.719000e-05 7.286094e-01
1.739000e-05 7.289795e-01
1.759000e-05 7.293427e-01
1.779000e-05 7.297131e-01
1.799000e-05 7.300760e-01
1.819000e-05 7.304458e-01
1.839000e-05 7.308094e-01
1.859000e-05 7.311785e-01
1.879000e-05 7.315426e-01
1.899000e-05 7.319120e-01
1.919000e-05 7.322775e-01
1.939000e-05 7.326459e-01
1.959000e-05 7.330085e-01
1.979000e-05 7.333752e-01
1.999000e-05 7.337416e-01
2.019000e-05 7.341085e-01
2.039000e-05 7.344749e-01
2.059000e-05 7.348420e-01
2.079000e-05 7.352098e-01
2.099000e-05 7.355767e-01
2.119000e-05 7.359445e-01
2.139000e-05 7.363119e-01
2.159000e-05 7.366804e-01
2.179000e-05 7.370480e-01
2.199000e-05 7.374151e-01
2.219000e-05 7.377822e-01
2.239000e-05 7.381492e-01
2.259000e-05 7.385149e-01
2.279000e-05 7.388825e-01
2.299000e-05 7.392492e-01
2.319000e-05 7.396164e-01
2.339000e-05 7.399832e-01
2.359000e-05 7.403495e-01
2.379000e-05 7.407170e-01
2.399000e-05 7.410830e-01
2.419000e-05 7.414503e-01
2.439000e-05 7.418172e-01
2.459000e-05 7.421829e-01
2.479000e-05 7.425508e-01
2.499000e-05 7.429178e-01
2.519000e-05 7.432839e-01
2.539000e-05 7.436516e-01
2.559000e-05 7.440184e-01
2.579000e-05 7.443630e-01
2.599000e-05 7.447303e-01
2.619000e-05 7.450966e-01
2.639000e-05 7.454649e-01
2.659000e-05 7.458322e-01
2.679000e-05 7.461994e-01
2.699000e-05 7.465665e-01
2.719000e-05 7.469340e-01
2.739000e-05 7.472986e-01
2.759000e-05 7.476663e-01
2.779000e-05 7.480339e-01
2.799000e-05 7.483994e-01
2.819000e-05 7.487654e-01
2.839000e-05 7.491345e-01
2.859000e-05 7.495028e-01
2.879000e-05 7.498681e-01
2.899000e-05 7.502363e-01
2.919000e-05 7.506025e-01
2.939000e-05 7.509695e-01
2.959000e-05 7.513347e-01
2.979000e-05 7.517036e-01
2.999000e-05 7.520673e-01
3.019000e-05 7.524344e-01
3.039000e-05 7.528005e-01
3.059000e-05 7.531707e-01
3.079000e-05 7.535339e-01
3.099000e-05 7.539006e-01
3.119000e-05 7.542690e-01
3.139000e-05 7.546378e-01
3.159000e-05 7.550008e-01
3.179000e-05 7.553678e-01
3.199000e-05 7.557344e-01
3.219000e-05 7.561031e-01
3.239000e-05 7.564679e-01
3.259000e-05 7.568332e-01
3.279000e-05 7.572034e-01
3.299000e-05 7.575692e-01
3.319000e-05 7.579375e-01
3.339000e-05 7.583043e-01
3.359000e-05 7.586711e-01
3.379000e-05 7.590379e-01
3.399000e-05 7.594047e-01
3.419000e-05 7.597715e-01
3.439000e-05 7.601383e-01
3.459000e-05 7.605045e-01
3.479000e-05 7.608718e-01
3.499000e-05 7.612387e-01
3.519000e-05 7.616054e-01
3.539000e-05 7.619710e-01
3.559000e-05 7.623387e-01
3.579000e-05 7.627055e-01
3.599000e-05 7.630723e-01
3.619000e-05 7.634356e-01
3.639000e-05 7.638056e-01
3.659000e-05 7.641727e-01
3.679000e-05 7.645390e-01
3.699000e-05 7.649061e-01
3.719000e-05 7.652722e-01
3.739000e-05 7.656394e-01
3.759000e-05 7.660057e-01
3.779000e-05 7.663731e-01
3.799000e-05 7.667389e-01
3.819000e-05 7.671057e-01
3.839000e-05 7.674725e-01
3.859000e-05 7.678324e-01
3.879000e-05 7.681992e-01
3.899000e-05 7.685659e-01
3.919000e-05 7.689327e-01
3.939000e-05 7.692993e-01
3.959000e-05 7.696662e-01
3.979000e-05 7.700330e-01
3.999000e-05 7.703998e-01
4.019000e-05 7.707665e-01
4.039000e-05 7.711333e-01
4.059000e-05 7.715001e-01
4.079000e-05 7.718671e-01
4.099000e-05 7.722336e-01
4.119000e-05 7.726008e-01
4.139000e-05 7.729674e-01
4.159000e-05 7.733346e-01
4.179000e-05 7.736999e-01
4.199000e-05 7.740686e-01
4.219000e-05 7.744343e-01
4.239000e-05 7.748010e-01
4.259000e-05 7.751679e-01
4.279000e-05 7.755330e-01
4.299000e-05 7.759020e-01
4.319000e-05 7.762671e-01
4.339000e-05 7.766358e-01
4.359000e-05 7.770009e-01
4.379000e-05 7.773686e-01
4.399000e-05 7.777350e-01
4.419000e-05 7.781012e-01
4.439000e-05 7.784686e-01
4.459000e-05 7.788339e-01
4.479000e-05 7.792023e-01
4.499000e-05 7.795674e-01
4.519000e-05 7.799340e-01
4.539000e-05 7.803008e-01
4.559000e-05 7.806677e-01
4.579000e-05 7.810338e-01
4.599000e-05 7.814012e-01
4.619000e-05 7.817680e-01
4.639000e-05 7.821348e-01
4.659000e-05 7.825015e-01
4.679000e-05 7.828676e-01
4.699000e-05 7.832331e-01
4.719000e-05 7.835983e-01
4.739000e-05 7.839642e-01
4.759000e-05 7.843321e-01
4.779000e-05 7.846991e-01
4.799000e-05 7.850664e-01
4.819000e-05 7.854313e-01
4.839000e-05 7.858002e-01
4.859000e-05 7.861673e-01
4.879000e-05 7.865343e-01
4.899000e-05 7.869002e-01
4.919000e-05 7.872680e-01
4.939000e-05 7.876348e-01
4.959000e-05 7.880017e-01
4.979000e-05 7.883684e-01
4.999000e-05 7.887348e-01
5.019000e-05 7.891009e-01
5.039000e-05 7.894670e-01
5.059000e-05 7.898332e-01
5.079000e-05 7.901980e-01
5.099000e-05 7.905650e-01
5.119000e-05 7.909323e-01
5.139000e-05 7.912408e-01
5.159000e-05 7.916038e-01
5.179000e-05 7.919696e-01
5.199000e-05 7.923360e-01
5.219000e-05 7.927031e-01
5.239000e-05 7.930735e-01
5.259000e-05 7.934403e-01
5.279000e-05 7.938076e-01
5.299000e-05 7.941742e-01
5.319000e-05 7.945395e-01
5.339000e-05 7.949033e-01
5.359000e-05 7.952695e-01
5.379000e-05 7.956385e-01
5.399000e-05 7.960068e-01
5.419000e-05 7.963701e-01
5.439000e-05 7.967411e-01
5.459000e-05 7.971068e-01
5.479000e-05 7.974743e-01
5.499000e-05 7.978406e-01
5.519000e-05 7.982032e-01
5.539000e-05 7.985713e-01
5.559000e-05 7.989384e-01
5.579000e-05 7.993051e-01
5.599000e-05 7.996728e-01
5.619000e-05 8.000384e-01
5.639000e-05 8.004068e-01
5.659000e-05 8.007730e-01
5.679000e-05 8.011371e-01
5.699000e-05 8.015066e-01
5.719000e-05 8.018730e-01
5.739000e-05 8.022393e-01
5.759000e-05 8.026071e-01
5.779000e-05 8.029723e-01
5.799000e-05 8.033389e-01
5.819000e-05 8.037057e-01
5.839000e-05 8.040726e-01
5.859000e-05 8.044389e-01
5.879000e-05 8.048062e-01
5.899000e-05 8.051728e-01
5.919000e-05 8.055397e-01
5.939000e-05 8.059063e-01
5.959000e-05 8.062729e-01
5.979000e-05 8.066394e-01
5.999000e-05 8.070049e-01
6.019000e-05 8.073717e-01
6.039000e-05 8.077391e-01
6.059000e-05 8.081070e-01
6.079000e-05 8.084738e-01
6.099000e-05 8.088353e-01
6.119000e-05 8.092070e-01
6.139000e-05 8.095733e-01
6.159000e-05 8.099405e-01
6.179000e-05 8.103035e-01
6.199000e-05 8.106709e-01
6.219000e-05 8.110370e-01
6.239000e-05 8.114045e-01
6.259000e-05 8.117714e-01
6.279000e-05 8.121389e-01
6.299000e-05 8.125055e-01
6.319000e-05 8.128739e-01
6.339000e-05 8.132393e-01
6.359000e-05 8.136056e-01
6.379000e-05 8.139729e-01
6.399000e-05 8.143397e-01
6.419000e-05 8.147001e-01
6.439000e-05 8.150659e-01
6.459000e-05 8.154341e-01
6.479000e-05 8.157999e-01
6.499000e-05 8.161676e-01
6.519000e-05 8.165334e-01
6.539000e-05 8.169011e-01
6.559000e-05 8.172673e-01
6.579000e-05 8.176341e-01
6.599000e-05 8.180004e-01
6.619000e-05 8.183676e-01
6.639000e-05 8.187344e-01
6.659000e-05 8.191010e-01
6.679000e-05 8.194679e-01
6.699000e-05 8.198352e-01
6.719000e-05 8.201997e-01
6.739000e-05 8.205681e-01
6.759000e-05 8.209332e-01
6.779000e-05 8.213018e-01
6.799000e-05 8.216685e-01
6.819000e-05 8.220353e-01
6.839000e-05 8.224018e-01
6.859000e-05 8.227689e-01
6.879000e-05 8.231354e-01
6.899000e-05 8.235021e-01
6.919000e-05 8.238687e-01
6.939000e-05 8.242355e-01
6.959000e-05 8.246021e-01
6.979000e-05 8.249692e-01
6.999000e-05 8.253355e-01
7.019000e-05 8.257023e-01
7.039000e-05 8.260674e-01
7.059000e-05 8.264338e-01
7.079000e-05 8.268004e-01
7.099000e-05 8.271671e-01
7.119000e-05 8.275338e-01
7.139000e-05 8.279004e-01
7.159000e-05 8.282671e-01
7.179000e-05 8.286338e-01
7.199000e-05 8.290004e-01
7.219000e-05 8.293669e-01
7.239000e-05 8.297336e-01
7.259000e-05 8.301003e-01
7.279000e-05 8.304669e-01
7.299000e-05 8.308335e-01
7.319000e-05 8.312004e-01
7.339000e-05 8.315673e-01
7.359000e-05 8.319342e-01
7.379000e-05 8.323001e-01
7.399000e-05 8.326670e-01
7.419000e-05 8.330350e-01
7.439000e-05 8.334009e-01
7.459000e-05 8.337677e-01
7.479000e-05 8.341356e-01
7.499000e-05 8.345024e-01
7.519000e-05 8.348691e-01
7.539000e-05 8.352360e-01
7.559000e-05 8.356029e-01
7.579000e-05 8.359701e-01
7.599000e-05 8.363359e-01
7.619000e-05 8.367026e-01
7.639000e-05 8.370679e-01
7.659000e-05 8.374371e-01
7.679000e-05 8.378037e-01
7.699000e-05 8.381479e-01
7.719000e-05 8.385147e-01
7.739000e-05 8.388802e-01
7.759000e-05 8.392471e-01
7.779000e-05 8.396144e-01
7.799000e-05 8.399804e-01
7.819000e-05 8.403466e-01
7.839000e-05 8.407132e-01
7.859000e-05 8.410812e-01
7.879000e-05 8.414453e-01
7.899000e-05 8.418170e-01
7.919000e-05 8.421823e-01
7.939000e-05 8.425467e-01
7.959000e-05 8.429160e-01
7.979000e-05 8.432840e-01
7.999000e-05 8.436510e-01
8.019000e-05 8.440167e-01
8.039000e-05 8.443839e-01
8.059000e-05 8.447441e-01
8.079000e-05 8.451165e-01
8.099000e-05 8.454817e-01
8.119000e-05 8.458480e-01
8.139000e-05 8.462120e-01
8.159000e-05 8.465784e-01
8.179000e-05 8.469463e-01
8.199000e-05 8.473155e-01
8.219000e-05 8.476830e-01
8.239000e-05 8.480497e-01
8.259000e-05 8.484165e-01
8.279000e-05 8.487841e-01
8.299000e-05 8.491510e-01
8.319000e-05 8.495185e-01
8.339000e-05 8.498828e-01
8.359000e-05 8.502501e-01
8.379000e-05 8.506170e-01
8.399000e-05 8.509838e-01
8.419000e-05 8.513503e-01
8.439000e-05 8.517172e-01
8.459000e-05 8.520840e-01
8.479000e-05 8.524508e-01
8.499000e-05 8.528174e-01
8.519000e-05 8.531843e-01
8.539000e-05 8.535510e-01
8.559000e-05 8.539178e-01
8.579000e-05 8.542844e-01
8.599000e-05 8.546513e-01
8.619000e-05 8.550180e-01
8.639000e-05 8.553849e-01
8.659000e-05 8.557509e-01
8.679000e-05 8.561179e-01
8.699000e-05 8.564846e-01
8.719000e-05 8.568514e-01
8.739000e-05 8.572180e-01
8.759000e-05 8.575848e-01
8.779000e-05 8.579515e-01
8.799000e-05 8.583183e-01
8.819000e-05 8.586849e-01
8.839000e-05 8.590517e-01
8.859000e-05 8.594184e-01
8.879000e-05 8.597851e-01
8.899000e-05 8.601517e-01
8.919000e-05 8.605184e-01
8.939000e-05 8.608851e-01
8.959000e-05 8.612518e-01
8.979000e-05 8.616115e-01
8.999000e-05 8.619782e-01
9.019000e-05 8.623449e-01
9.039000e-05 8.627114e-01
9.059000e-05 8.630780e-01
9.079000e-05 8.634446e-01
9.099000e-05 8.638113e-01
9.119000e-05 8.641778e-01
9.139000e-05 8.645443e-01
9.159000e-05 8.649099e-01
9.179000e-05 8.652775e-01
9.199000e-05 8.656425e-01
9.219000e-05 8.660105e-01
9.239000e-05 8.663764e-01
9.259000e-05 8.667434e-01
9.279000e-05 8.671090e-01
9.299000e-05 8.674757e-01
9.319000e-05 8.678489e-01
9.339000e-05 8.682085e-01
9.359000e-05 8.685821e-01
9.379000e-05 8.689427e-01
9.399000e-05 8.693130e-01
9.419000e-05 8.696781e-01
9.439000e-05 8.700477e-01
9.459000e-05 8.704128e-01
9.479000e-05 8.707829e-01
9.499000e-05 8.711480e-01
9.519000e-05 8.715164e-01
9.539000e-05 8.718825e-01
9.559000e-05 8.722498e-01
9.579000e-05 8.726169e-01
9.599000e-05 8.729831e-01
9.619000e-05 8.733482e-01
9.639000e-05 8.737152e-01
9.659000e-05 8.740819e-01
9.679000e-05 8.744485e-01
9.699000e-05 8.748155e-01
9.719000e-05 8.751816e-01
9.739000e-05 8.755488e-01
9.759000e-05 8.759148e-01
9.779000e-05 8.762815e-01
9.799000e-05 8.766480e-01
9.819000e-05 8.770147e-01
9.839000e-05 8.773811e-01
9.859000e-05 8.777481e-01
9.879000e-05 8.781138e-01
9.899000e-05 8.784806e-01
9.919000e-05 8.788473e-01
9.939000e-05 8.792143e-01
9.959000e-05 8.795798e-01
9.979000e-05 8.799485e-01
9.999000e-05 8.803131e-01
1.001900e-04 8.806803e-01
1.003900e-04 8.810473e-01
1.005900e-04 8.814138e-01
1.007900e-04 8.817808e-01
1.009900e-04 8.821433e-01
1.011900e-04 8.825126e-01
1.013900e-04 8.828811e-01
1.015900e-04 8.832433e-01
1.017900e-04 8.836134e-01
1.019900e-04 8.839810e-01
1.021900e-04 8.843465e-01
1.023900e-04 8.847145e-01
1.025900e-04 8.849826e-01
1.027900e-04 8.853495e-01
1.029900e-04 8.857165e-01
1.031900e-04 8.860835e-01
1.033900e-04 8.864439e-01
1.035900e-04 8.868169e-01
1.037900e-04 8.871835e-01
1.039900e-04 8.875510e-01
1.041900e-04 8.879159e-01
1.043900e-04 8.882837e-01
1.045900e-04 8.886503e-01
1.047900e-04 8.890177e-01
1.049900e-04 8.893764e-01
1.051900e-04 8.897512e-01
1.053900e-04 8.901185e-01
1.055900e-04 8.904852e-01
1.057900e-04 8.908508e-01
1.059900e-04 8.912171e-01
1.061900e-04 8.915852e-01
1.063900e-04 8.919505e-01
1.065900e-04 8.923160e-01
1.067900e-04 8.926857e-01
1.069900e-04 8.930527e-01
1.071900e-04 8.934191e-01
1.073900e-04 8.937867e-01
1.075900e-04 8.941522e-01
1.077900e-04 8.945164e-01
1.079900e-04 8.948856e-01
1.081900e-04 8.952494e-01
1.083900e-04 8.956186e-01
1.085900e-04 8.959865e-01
1.087900e-04 8.963521e-01
1.089900e-04 8.967141e-01
1.091900e-04 8.970848e-01
1.093900e-04 8.974479e-01
1.095900e-04 8.978183e-01
1.097900e-04 8.981743e-01
1.099900e-04 8.985475e-01
1.101900e-04 8.989141e-01
1.103900e-04 8.992805e-01
1.105900e-04 8.996516e-01
1.107900e-04 9.000176e-01
1.109900e-04 9.003840e-01
1.111900e-04 9.007508e-01
1.113900e-04 9.011160e-01
1.115900e-04 9.014776e-01
1.117900e-04 9.018516e-01
1.119900e-04 9.022148e-01
1.121900e-04 9.025806e-01
1.123900e-04 9.029503e-01
1.125900e-04 9.033109e-01
1.127900e-04 9.036840e-01
1.129900e-04 9.040498e-01
1.131900e-04 9.044171e-01
1.133900e-04 9.047771e-01
1.135900e-04 9.051527e-01
1.137900e-04 9.055179e-01
1.139900e-04 9.058821e-01
1.141900e-04 9.062451e-01
1.143900e-04 9.066123e-01
1.145900e-04 9.069862e-01
1.147900e-04 9.073563e-01
1.149900e-04 9.077166e-01
1.151900e-04 9.080899e-01
1.153900e-04 9.084414e-01
1.155900e-04 9.088135e-01
1.157900e-04 9.091709e-01
1.159900e-04 9.095477e-01
1.161900e-04 9.099091e-01
1.163900e-04 9.102795e-01
1.165900e-04 9.106386e-01
1.167900e-04 9.110162e-01
1.169900e-04 9.113728e-01
1.171900e-04 9.117508e-01
1.173900e-04 9.121121e-01
1.175900e-04 9.124843e-01
1.177900e-04 9.128436e-01
1.179900e-04 9.132171e-01
1.181900e-04 9.135801e-01
1.183900e-04 9.139502e-01
1.185900e-04 9.143180e-01
1.187900e-04 9.146798e-01
1.189900e-04 9.150429e-01
1.191900e-04 9.154144e-01
1.193900e-04 9.157758e-01
1.195900e-04 9.161477e-01
1.197900e-04 9.165087e-01
1.199900e-04 9.168809e-01
1.201900e-04 9.172421e-01
1.203900e-04 9.176167e-01
1.205900e-04 9.179748e-01
1.207900e-04 9.183500e-01
1.209900e-04 9.187166e-01
1.211900e-04 9.190826e-01
1.213900e-04 9.194410e-01
1.215900e-04 9.198159e-01
1.217900e-04 9.201845e-01
1.219900e-04 9.205413e-01
1.221900e-04 9.209096e-01
1.223900e-04 9.212746e-01
1.225900e-04 9.216477e-01
1.227900e-04 9.220074e-01
1.229900e-04 9.223818e-01
1.231900e-04 9.227419e-01
1.233900e-04 9.231089e-01
1.235900e-04 9.234780e-01
1.237900e-04 9.238420e-01
1.239900e-04 9.242123e-01
1.241900e-04 9.245736e-01
1.243900e-04 9.249454e-01
1.245900e-04 9.253073e-01
1.247900e-04 9.256775e-01
1.249900e-04 9.260526e-01
1.251900e-04 9.264090e-01
1.253900e-04 9.267759e-01
1.255900e-04 9.271436e-01
1.257900e-04 9.275182e-01
1.259900e-04 9.278837e-01
1.261900e-04 9.282528e-01
1.263900e-04 9.286196e-01
1.265900e-04 9.289804e-01
1.267900e-04 9.293457e-01
1.269900e-04 9.297168e-01
1.271900e-04 9.300801e-01
1.273900e-04 9.304464e-01
1.275900e-04 9.308146e-01
1.277900e-04 9.311821e-01
1.279900e-04 9.315501e-01
1.281900e-04 9.318994e-01
1.283900e-04 9.322649e-01
1.285900e-04 9.326330e-01
1.287900e-04 9.329990e-01
1.289900e-04 9.333645e-01
1.291900e-04 9.337323e-01
1.293900e-04 9.341002e-01
1.295900e-04 9.344662e-01
1.297900e-04 9.348304e-01
1.299900e-04 9.352000e-01
1.301900e-04 9.355667e-01
1.303900e-04 9.359336e-01
1.305900e-04 9.362969e-01
1.307900e-04 9.366675e-01
1.309900e-04 9.370339e-01
1.311900e-04 9.374015e-01
1.313900e-04 9.377622e-01
1.315900e-04 9.381342e-01
1.317900e-04 9.385015e-01
1.319900e-04 9.388681e-01
1.321900e-04 9.392331e-01
1.323900e-04 9.396018e-01
1.325900e-04 9.399685e-01
1.327900e-04 9.403357e-01
1.329900e-04 9.407029e-01
1.331900e-04 9.410691e-01
1.333900e-04 9.414355e-01
1.335900e-04 9.418027e-01
1.337900e-04 9.421664e-01
1.339900e-04 9.425362e-01
1.341900e-04 9.429026e-01
1.343900e-04 9.432697e-01
1.345900e-04 9.436308e-01
1.347900e-04 9.440012e-01
1.349900e-04 9.443678e-01
1.351900e-04 9.447339e-01
1.353900e-04 9.450997e-01
1.355900e-04 9.454689e-01
1.357900e-04 9.458348e-01
1.359900e-04 9.462028e-01
1.361900e-04 9.465684e-01
1.363900e-04 9.469364e-01
1.365900e-04 9.473019e-01
1.367900e-04 9.476700e-01
1.369900e-04 9.480342e-01
1.371900e-04 9.484024e-01
1.373900e-04 9.487695e-01
1.375900e-04 9.491380e-01
1.377900e-04 9.494976e-01
1.379900e-04 9.498687e-01
1.381900e-04 9.502349e-01
1.383900e-04 9.506023e-01
1.385900e-04 9.509663e-01
1.387900e-04 9.513369e-01
1.389900e-04 9.517019e-01
1.391900e-04 9.520705e-01
1.393900e-04 9.524354e-01
1.395900e-04 9.528037e-01
1.397900e-04 9.531689e-01
1.399900e-04 9.535372e-01
1.401900e-04 9.539009e-01
1.403900e-04 9.542723e-01
1.405900e-04 9.546370e-01
1.407900e-04 9.550057e-01
1.409900e-04 9.553644e-01
1.411900e-04 9.557313e-01
1.413900e-04 9.560955e-01
1.415900e-04 9.564648e-01
1.417900e-04 9.568285e-01
1.419900e-04 9.571981e-01
1.421900e-04 9.575624e-01
1.423900e-04 9.579316e-01
1.425900e-04 9.582958e-01
1.427900e-04 9.586660e-01
1.429900e-04 9.590315e-01
1.431900e-04 9.593993e-01
1.433900e-04 9.597631e-01
1.435900e-04 9.601272e-01
1.437900e-04 9.604986e-01
1.439900e-04 9.608602e-01
1.441900e-04 9.612249e-01
1.443900e-04 9.615988e-01
1.445900e-04 9.619622e-01
1.447900e-04 9.623321e-01
1.449900e-04 9.626949e-01
1.451900e-04 9.630658e-01
1.453900e-04 9.634300e-01
1.455900e-04 9.637993e-01
1.457900e-04 9.641625e-01
1.459900e-04 9.645277e-01
1.461900e-04 9.648990e-01
1.463900e-04 9.652610e-01
1.465900e-04 9.656315e-01
1.467900e-04 9.659992e-01
1.469900e-04 9.663661e-01
1.471900e-04 9.667328e-01
1.473900e-04 9.670886e-01
1.475900e-04 9.674648e-01
1.477900e-04 9.678316e-01
1.479900e-04 9.681983e-01
1.481900e-04 9.685619e-01
1.483900e-04 9.689317e-01
1.485900e-04 9.692968e-01
1.487900e-04 9.696652e-01
1.489900e-04 9.700310e-01
1.491900e-04 9.703987e-01
1.493900e-04 9.707655e-01
1.495900e-04 9.711316e-01
1.497900e-04 9.714946e-01
1.499900e-04 9.718657e-01
1.501900e-04 9.722317e-01
1.503900e-04 9.725986e-01
1.505900e-04 9.729613e-01
1.507900e-04 9.733316e-01
1.509900e-04 9.736983e-01
1.511900e-04 9.740650e-01
1.513900e-04 9.744282e-01
1.515900e-04 9.747992e-01
1.517900e-04 9.751628e-01
1.519900e-04 9.755326e-01
1.521900e-04 9.758985e-01
1.523900e-04 9.762650e-01
1.525900e-04 9.766326e-01
1.527900e-04 9.769985e-01
1.529900e-04 9.773606e-01
1.531900e-04 9.777328e-01
1.533900e-04 9.780984e-01
1.535900e-04 9.784662e-01
1.537900e-04 9.787672e-01
1.539900e-04 9.791344e-01
1.541900e-04 9.795012e-01
1.543900e-04 9.798681e-01
1.545900e-04 9.802321e-01
1.547900e-04 9.806024e-01
1.549900e-04 9.809672e-01
1.551900e-04 9.813357e-01
1.553900e-04 9.817084e-01
1.555900e-04 9.820728e-01
1.557900e-04 9.824359e-01
1.559900e-04 9.828064e-01
1.561900e-04 9.831642e-01
1.563900e-04 9.835415e-01
1.565900e-04 9.839064e-01
1.567900e-04 9.842750e-01
1.569900e-04 9.846412e-01
1.571900e-04 9.850102e-01
1.573900e-04 9.853746e-01
1.575900e-04 9.857437e-01
1.577900e-04 9.861002e-01
1.579900e-04 9.864819e-01
1.581900e-04 9.868415e-01
1.583900e-04 9.872155e-01
1.585900e-04 9.875784e-01
1.587900e-04 9.879425e-01
1.589900e-04 9.883083e-01
1.591900e-04 9.886761e-01
1.593900e-04 9.890337e-01
1.595900e-04 9.894141e-01
1.597900e-04 9.897746e-01
1.599900e-04 9.901477e-01
1.601900e-04 9.905067e-01
1.603900e-04 9.908749e-01
1.605900e-04 9.912397e-01
1.607900e-04 9.916094e-01
1.609900e-04 9.919651e-01
1.611900e-04 9.923480e-01
1.613900e-04 9.927074e-01
1.615900e-04 9.930818e-01
1.617900e-04 9.934408e-01
1.619900e-04 9.938140e-01
1.621900e-04 9.941733e-01
1.623900e-04 9.945475e-01
1.625900e-04 9.949004e-01
1.627900e-04 9.952666e-01
1.629900e-04 9.956479e-01
1.631900e-04 9.960012e-01
1.633900e-04 9.963807e-01
1.635900e-04 9.967355e-01
1.637900e-04 9.971073e-01
1.639900e-04 9.974702e-01
1.641900e-04 9.978345e-01
1.643900e-04 9.982171e-01
1.645900e-04 9.985741e-01
1.647900e-04 9.989507e-01
1.649900e-04 9.993075e-01
1.651900e-04 9.996816e-01
1.653900e-04 1.000040e+00
1.655900e-04 1.000415e+00
1.657900e-04 1.000768e+00
1.659900e-04 1.001142e+00
1.661900e-04 1.001516e+00
1.663900e-04 1.001876e+00
1.665900e-04 1.002234e+00
1.667900e-04 1.002612e+00
1.669900e-04 1.002967e+00
1.671900e-04 1.003346e+00
1.673900e-04 1.003700e+00
1.675900e-04 1.004076e+00
1.677900e-04 1.004433e+00
1.679900e-04 1.004811e+00
1.681900e-04 1.005164e+00
1.683900e-04 1.005539e+00
1.685900e-04 1.005909e+00
1.687900e-04 1.006273e+00
1.689900e-04 1.006643e+00
1.691900e-04 1.007011e+00
1.693900e-04 1.007376e+00
1.695900e-04 1.007746e+00
1.697900e-04 1.008097e+00
1.699900e-04 1.008477e+00
1.701900e-04 1.008835e+00
1.703900e-04 1.009211e+00
1.705900e-04 1.009569e+00
1.707900e-04 1.009947e+00
1.709900e-04 1.010301e+00
1.711900e-04 1.010681e+00
1.713900e-04 1.011032e+00
1.715900e-04 1.011415e+00
1.717900e-04 1.011776e+00
1.719900e-04 1.012148e+00
1.721900e-04 1.012511e+00
1.723900e-04 1.012882e+00
1.725900e-04 1.013243e+00
1.727900e-04 1.013616e+00
1.729900e-04 1.013966e+00
1.731900e-04 1.014344e+00
1.733900e-04 1.014714e+00
1.735900e-04 1.015078e+00
1.737900e-04 1.015436e+00
1.739900e-04 1.015815e+00
1.741900e-04 1.016169e+00
1.743900e-04 1.016548e+00
1.745900e-04 1.016911e+00
1.747900e-04 1.017278e+00
